id_agente,save_rate,ncalls,nsaves,ap
3000,0.9333333333333333,30,28,0.5773381294964028
3025,0.9302325581395349,43,40,0.5269784172661871
3132,0.85,20,17,0.33
3437,0.8817204301075269,93,82,0.052158273381294966
3466,0.9385474860335196,179,168,0.6780575539568345
3518,1.0,2,2,0.33
3758,0.908256880733945,109,99,0.2392086330935252
3761,0.9,10,9,0.33
3777,1.0,2,2,0.33
3778,0.9459459459459459,37,35,0.7859712230215827
3837,0.9354838709677419,155,145,0.6276978417266187
3871,0.9767441860465116,43,42,0.9622302158273381
3874,0.9230769230769231,130,120,0.4118705035971223
3877,0.925531914893617,94,87,0.45863309352517984
3883,0.9333333333333333,120,112,0.5881294964028777
3907,1.0,2,2,0.33
3951,0.875,40,35,0.03776978417266187
3955,0.9041095890410958,73,66,0.18884892086330934
3983,0.9090909090909091,11,10,0.33
4035,0.9329608938547486,179,167,0.5701438848920863
4082,1.0,1,1,0.33
4086,0.9294871794871795,156,145,0.5161870503597122
4088,0.92,25,23,0.33
4127,0.927710843373494,83,77,0.5017985611510791
4224,0.9583333333333334,24,23,0.33
4558,0.9523809523809523,21,20,0.33
4601,0.920863309352518,139,128,0.3830935251798561
4604,1.0,2,2,0.33
4609,1.0,2,2,0.33
4612,0.9306930693069307,101,94,0.5377697841726619
4618,1.0,2,2,0.33
4619,0.0,1,0,0.33
4622,1.0,3,3,0.33
4629,0.9024390243902439,41,37,0.16007194244604317
4631,1.0,2,2,0.33
4635,0.9319371727748691,191,178,0.5629496402877698
4637,0.927710843373494,83,77,0.5053956834532374
4640,0.8,5,4,0.33
4641,0.9107142857142857,56,51,0.24640287769784172
4643,1.0,1,1,0.33
4702,0.9,10,9,0.33
4705,0.9605263157894737,76,73,0.8902877697841727
4708,1.0,10,10,0.33
4710,1.0,3,3,0.33
4711,0.7142857142857143,14,10,0.33
4712,0.8910891089108911,101,90,0.10611510791366907
4715,1.0,1,1,0.33
4725,1.0,10,10,0.33
4726,0.9135802469135802,81,74,0.2931654676258993
4775,0.9428571428571428,35,33,0.7392086330935251
4776,1.0,1,1,0.33
4783,1.0,1,1,0.33
4784,0.8846153846153846,26,23,0.33
4785,0.8571428571428571,7,6,0.33
4787,0.9032258064516129,31,28,0.17446043165467626
4789,0.8888888888888888,9,8,0.33
4790,0.6666666666666666,3,2,0.33
4794,1.0,1,1,0.33
4796,1.0,5,5,0.33
4798,0.5,4,2,0.33
4802,0.95625,160,153,0.8723021582733813
4803,0.883495145631068,103,91,0.06294964028776978
4808,0.9459459459459459,37,35,0.789568345323741
4817,0.7777777777777778,9,7,0.33
4875,0.8783783783783784,74,65,0.048561151079136694
4882,0.9444444444444444,72,68,0.7607913669064749
4884,0.9444444444444444,18,17,0.33
4887,1.0,2,2,0.33
4890,0.9,10,9,0.33
4891,1.0,2,2,0.33
4894,0.9555555555555556,270,258,0.8579136690647482
4896,0.9292035398230089,113,105,0.512589928057554
4899,1.0,2,2,0.33
4903,0.9285714285714286,14,13,0.33
4907,0.8648648648648649,37,32,0.023381294964028777
4909,0.9509803921568627,102,97,0.8219424460431655
4910,0.9178082191780822,73,67,0.329136690647482
