id_agente,churn_rate,ncalls,nchurn,ap
2225,0.1,10,1,0.33
2255,0.05555555555555555,36,2,0.2392086330935252
2263,0.04895104895104895,143,7,0.17446043165467626
2264,0.0,3,0,0.33
2269,0.08415841584158416,202,17,0.6780575539568345
2271,0.0,11,0,0.33
2279,0.0,12,0,0.33
2300,0.043478260869565216,23,1,0.33
2326,0.023255813953488372,43,1,0.03776978417266187
2341,0.0,7,0,0.33
2343,0.09734513274336283,113,11,0.8327338129496403
2361,0.06870229007633588,131,9,0.447841726618705
2365,0.07575757575757576,132,10,0.5665467625899281
2370,0.029850746268656716,67,2,0.06294964028776978
2376,0.1111111111111111,18,2,0.33
2381,0.0,7,0,0.33
2383,0.08045977011494253,174,14,0.6348920863309353
2396,0.0,4,0,0.33
2405,0.14814814814814814,27,4,0.33
2413,0.12,25,3,0.33
2430,0.043478260869565216,23,1,0.33
2432,0.0,10,0,0.33
2477,0.0,6,0,0.33
2488,0.0,1,0,0.33
2505,0.06077348066298342,181,11,0.30755395683453235
2507,0.0603448275862069,116,7,0.30035971223021585
2516,0.07432432432432433,148,11,0.5305755395683454
2517,0.0,1,0,0.33
2535,0.12,25,3,0.33
2537,0.06493506493506493,154,10,0.3830935251798561
2539,0.09090909090909091,22,2,0.33
2540,0.0,2,0,0.33
2585,0.075,80,6,0.552158273381295
2591,0.0,9,0,0.33
2594,0.13043478260869565,23,3,0.33
2604,0.07947019867549669,151,12,0.6241007194244604
2620,0.06930693069306931,101,7,0.46223021582733814
2639,0.14285714285714285,7,1,0.33
2669,0.019417475728155338,103,2,0.019784172661870502
2678,0.125,8,1,0.33
2689,0.05128205128205128,39,2,0.18165467625899281
2695,0.1111111111111111,45,5,0.9046762589928058
2697,0.11333333333333333,150,17,0.908273381294964
2705,0.07692307692307693,156,12,0.5881294964028777
2710,0.2,5,1,0.33
2721,0.0,6,0,0.33
2723,0.0,8,0,0.33
2727,0.07692307692307693,13,1,0.33
2734,0.056074766355140186,107,6,0.24640287769784172
2762,0.06666666666666667,15,1,0.33
2764,0.07894736842105263,38,3,0.6097122302158273
2772,0.044444444444444446,135,6,0.1420863309352518
2775,0.054878048780487805,164,9,0.22482014388489208
2825,0.047244094488188976,127,6,0.1672661870503597
2826,0.0,1,0,0.33
2838,0.09248554913294797,173,16,0.7679856115107914
2869,0.056338028169014086,71,4,0.25
2880,0.07692307692307693,143,11,0.591726618705036
2888,0.0,8,0,0.33
2895,0.0,7,0,0.33
2898,0.08759124087591241,137,12,0.7248201438848921
2901,0.0392156862745098,102,4,0.10611510791366907
2924,0.0,30,0,0.008992805755395683
2940,0.0,8,0,0.33
2941,0.0,19,0,0.33
2946,0.14285714285714285,14,2,0.33
2961,0.05128205128205128,39,2,0.18525179856115107
2966,0.03225806451612903,31,1,0.08093525179856115
2975,0.058823529411764705,119,7,0.2787769784172662
2986,0.046511627906976744,43,2,0.16007194244604317
2997,0.0,2,0,0.33
3000,0.06666666666666667,30,2,0.4226618705035971
3025,0.06976744186046512,43,3,0.47302158273381295
3132,0.15,20,3,0.33
3437,0.11827956989247312,93,11,0.947841726618705
3466,0.061452513966480445,179,11,0.32194244604316546
3518,0.0,2,0,0.33
3758,0.09174311926605505,109,10,0.7607913669064749
3761,0.1,10,1,0.33
3777,0.0,2,0,0.33
3778,0.05405405405405406,37,2,0.21402877697841727
3837,0.06451612903225806,155,10,0.3723021582733813
3871,0.023255813953488372,43,1,0.0341726618705036
3874,0.07692307692307693,130,10,0.5953237410071942
3877,0.07446808510638298,94,7,0.5377697841726619
3883,0.06666666666666667,120,8,0.4154676258992806
3907,0.0,2,0,0.33
3951,0.125,40,5,0.9586330935251799
3955,0.0958904109589041,73,7,0.8111510791366906
3983,0.09090909090909091,11,1,0.33
4035,0.0670391061452514,179,12,0.42985611510791366
4082,0.0,1,0,0.33
4086,0.07051282051282051,156,11,0.48381294964028776
4088,0.08,25,2,0.33
4127,0.07228915662650602,83,6,0.49460431654676257
4224,0.041666666666666664,24,1,0.33
4558,0.047619047619047616,21,1,0.33
4601,0.07913669064748201,139,11,0.6169064748201439
4604,0.0,2,0,0.33
4609,0.0,2,0,0.33
4612,0.06930693069306931,101,7,0.45863309352517984
4618,0.0,2,0,0.33
4619,1.0,1,1,0.33
4622,0.0,3,0,0.33
4629,0.0975609756097561,41,4,0.8363309352517986
4631,0.0,2,0,0.33
4635,0.06806282722513089,191,13,0.4370503597122302
4637,0.07228915662650602,83,6,0.4982014388489209
4640,0.2,5,1,0.33
4641,0.08928571428571429,56,5,0.7535971223021583
4643,0.0,1,0,0.33
4702,0.1,10,1,0.33
4705,0.039473684210526314,76,3,0.10971223021582734
4708,0.0,10,0,0.33
4710,0.0,3,0,0.33
4711,0.2857142857142857,14,4,0.33
4712,0.10891089108910891,101,11,0.8938848920863309
4715,0.0,1,0,0.33
4725,0.0,10,0,0.33
4726,0.08641975308641975,81,7,0.7032374100719424
4775,0.05714285714285714,35,2,0.25719424460431656
4776,0.0,1,0,0.33
4783,0.0,1,0,0.33
4784,0.11538461538461539,26,3,0.33
4785,0.14285714285714285,7,1,0.33
4787,0.0967741935483871,31,3,0.8183453237410072
4789,0.1111111111111111,9,1,0.33
4790,0.3333333333333333,3,1,0.33
4794,0.0,1,0,0.33
4796,0.0,5,0,0.33
4798,0.5,4,2,0.33
4802,0.04375,160,7,0.12769784172661872
4803,0.11650485436893204,103,12,0.9370503597122302
4808,0.05405405405405406,37,2,0.210431654676259
4817,0.2222222222222222,9,2,0.33
4875,0.12162162162162163,74,9,0.9514388489208633
